id,nome_escola,bairro,logradouro,latitude,longitude,tipo_escola,numero_logradouro,quantidade_materiais,subprefeitura
178,HENFIL,CAJU,RUA CARLOS SEIDL ,-22.88089,-43.22533,CIEP,S/N,20,CENTRO
634,ALICE DO AMARAL PEIXOTO,BENFICA,RUA EBANO ,-22.88957,-43.2362,EM,187,121,CENTRO
600,URUGUAI,BENFICA,RUA ANA NERI ,-22.89849,-43.23776,EM,192,591,CENTRO
476,FLORIANO PEIXOTO,SAO CRISTOVAO,PRACA ARGENTINA ,-22.89763,-43.22746,EM,20,190,CENTRO
638,AZEVEDO SODRE,PRACA DA BANDEIRA,RUA BARAO DE UBA ,-22.91545,-43.21109,EM,331,293,GRANDE TIJUCA
089,MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO,-22.91723,-43.21104,EM,148,473,CENTRO
132,PEREIRA PASSOS,RIO COMPRIDO,PRACA CONDESSA PAULO DE FRONTIN ,-22.92441,-43.20858,EM,45,67,CENTRO
055,SANTA CATARINA,SANTA TERESA,RUA EDUARDO SANTOS ,-22.91553,-43.19159,EM,38,92,CENTRO
490,TIA CIATA,CENTRO,AVENIDA PRESIDENTE VARGAS ,-22.90712,-43.19507,EM,S/N,578,CENTRO
483,CELESTINO SILVA,CENTRO,RUA DO LAVRADIO,-22.90929,-43.18358,EM,56,220,CENTRO
331,TANCREDO NEVES,CATETE,RUA DO CATETE ,-22.92279,-43.17668,CIEP,77,223,ZONA SUL
035,SENADOR CORREA,LARANJEIRAS,RUA SEN. CORREA,-22.93399,-43.18101,EM,nan,525,ZONA SUL
450,ALBERTO BARTH,FLAMENGO,AVENIDA OSWALDO CRUZ ,-22.94071,-43.17647,EM,124,420,ZONA SUL
523,PRESIDENTE DA COSTA E SILVA,BOTAFOGO,RUA ASSUNCAO,-22.94556,-43.18659,EM,257,111,ZONA SUL
309,MEXICO,BOTAFOGO,RUA DA MATRIZ ,-22.95271,-43.19176,EM,67,319,ZONA SUL
387,PRESIDENTE AGOSTINHO NETO,HUMAITA,RUA VISCONDE DE SILVA ,-22.95917,-43.19972,CIEP,S/N,456,ZONA SUL
413,COCIO BARCELOS,COPACABANA,RUA BARAO DE IPANEMA,-22.97483,-43.18906,EM,34,'',ZONA SUL
558,CICERO PENA,COPACABANA,AVENIDA ATLANTICA,-22.96865,-43.18114,EM,1976,573,ZONA SUL
268,MINAS GERAIS,URCA,AVENIDA PASTEUR ,-22.95382,-43.16889,EM,433,308,ZONA SUL
017,PRESIDENTE JOSE LINHARES,IPANEMA,RUA BARAO DA TORRE,-22.98333,-43.19904,EM,90,48,ZONA SUL
540,HENRIQUE DODSWORTH,IPANEMA,AVENIDA EPITACIO PESSOA ,-22.98195,-43.21358,EM,474,516,ZONA SUL
382,SANTOS ANJOS,LEBLON,RUA HUMBERTO DE CAMPOS S/NDEG,-22.98156,-43.21703,EM,nan,262,ZONA SUL
